State,ST,Fips,County,Precincts,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Alaska,AK,2100,"Haines Borough, Alaska",,,,,,,,,,,,,,,6,94,33.1,11.7,85.9,21968.40254,82.95,0.4,7.7,0.25,6.2,2.55,12.6,0,2466,100,5.9,8.05,40.8,19.1,16.45,2.2,12.3,9.1,82.95,0.4,2.55,0.25,7.7,6.2,83.2,0.69851575,49.6,3.1,2,,,0.196,0.141,0.296,0.083,195.8,,0.282,0.081,541.11,,,
Nebraska,NE,31145,"Red Willow County, Nebraska",13,5061,1216,952,3735,3891,83.22465916,12.60620431,0.513732464,3.65540407,78.82901135,74.04837431,19.28687196,24.10785091,8.3,91.7,21.6,6.2,72.9,20965.32413,94.15,0.45,0.25,0.4,0.9,3.9,15.45,4.05,10905,50.8,9.75,10.8,26.85,18.45,26.65,2,9.5,16.6,94.15,0.45,3.9,0.4,0.25,0.9,94.55,0.88806675,42.9,3.2,3,,27.6,0.166,0.175,0.302,0.097,99.7,,0.129,0.033,73.04,,74.1,
California,CA,6015,"Del Norte County, California",18,9361,4323,3791,4967,4614,54.84456789,37.22892853,2.617241748,4.443969661,52.61117446,52.11415381,43.22690992,45.35725527,18.7,81.3,14.3,4.3,73.2,23797.85969,66.05,3.4,5.6,3.1,4.95,16.95,38.75,8.8,28669,58.1,20.7,31.3,28,29.9,24.45,3.5,7.05,7.05,66.05,3.4,16.95,3.1,5.6,4.95,69.15,0.47269375,37.9,6.3,4,0.06,53.8,0.416,0.203,0.255,0.088,202.4,139.6,0.173,0.134,436.93,8.56,95.6,
Florida,FL,12031,"Duval County, Florida",199,428734,202618,196737,210537,211615,48.99564765,47.49495025,0.670345716,2.591816837,51.38182048,50.63894882,47.76932266,48.73424876,12.8,87.2,24.9,8,73.85,30197.95873,58,28.85,0.3,3.8,2.25,6.85,20.95,9.95,855324,53.9,13.75,19.55,32.95,16.65,30,0.1,9.8,10.45,58,28.85,6.85,3.8,0.3,2.25,61.8,0.42628375,35.4,3.9,3.8,0.09,47.6,0.408,0.204,0.284,0.108,682.1,708.6,0.193,0.088,719.14,13.97,76.4,10.1
Kansas,KS,20053,"Ellsworth County, Kansas",25,2626,851,702,2021,1930,73.61005331,19.61157654,2.779893374,3.998476771,71.16519174,68.78829135,25.88495575,28.96528251,9.4,90.6,19.8,6.1,72.15,24146.33175,88.9,3.9,0.35,0.45,1.6,4.8,6.1,14.6,6372,47.4,8.35,5,33.2,21.85,16.9,1.8,12.3,13.95,88.9,3.9,4.8,0.45,0.35,1.6,89.35,0.7944345,42.9,3.5,2.1,0.05,22.8,0.253,0.124,0.34,0.102,77.1,87.5,0.138,0.033,218.79,,64.9,
Kentucky,KY,21057,"Cumberland County, Kentucky",10,3066,697,599,2056,2216,81.60469667,14.97064579,0.358773646,2.185257665,77.64540995,73.50732928,20.9880869,24.91955667,29.5,70.5,7.9,3.7,71.2,18503.49461,94.7,2.95,0.05,0.05,1.25,1,28.1,23.9,6844,0,25.75,38.25,25.05,17.6,22.1,1.3,14.75,19.15,94.7,2.95,1,0.05,0.05,1.25,94.75,0.897936,42.9,6.4,5,0.12,57.3,0.453,0.27,0.342,0.133,146.4,,0.202,0.108,49.91,,155.8,
Michigan,MI,26141,"Presque Isle County, Michigan",17,7215,3722,3192,3606,3794,62.17602218,33.26403326,0.693000693,3.284823285,53.58757062,48.04796802,45.08474576,49.59360426,14.7,85.3,14.3,4.7,76.55,21330.29556,97.05,0.3,0.7,0.2,1,0.75,18.9,7.15,13559,42.5,12,16.6,25.95,17.6,23.7,3.65,13.85,15.1,97.05,0.3,0.75,0.2,0.7,1,97.25,0.9420885,50.5,7.1,2.6,0.07,23.1,0.308,0.159,0.333,0.135,68.4,,0.162,0.14,145.84,,87.6,
Missouri,MO,29225,"Webster County, Missouri",13,16690,5685,4409,10431,10708,76.86638706,19.01138406,0.509286998,3.079688436,69.40177588,63.77476156,28.57605807,34.75788701,17.8,82.2,14.7,5.5,68.8,23517.57397,95,1.05,0.6,0.15,1.5,1.7,34.05,12.3,35918,25.2,17.85,26.15,23.45,13,27.35,0.85,15.75,19.6,95,1.05,1.7,0.15,0.6,1.5,95.15,0.9031625,37.1,3.3,3.9,0.07,44.8,0.238,0.173,0.322,0.111,167.4,71.3,0.219,0.069,102.15,,75.2,6.7
Illinois,IL,17065,"Hamilton County, Illinois",16,4143,1796,1269,2353,2566,77.3594014,19.30967898,0.579290369,2.751629254,65.11037808,55.18292683,32.19994925,42.12007505,19.2,80.8,12.7,5.6,71.2,21976.02984,97.2,0.2,0.15,0.1,0.85,1.5,32.75,8.4,8321,42.4,12.95,19.2,26.8,18.1,19.45,0.2,12.2,23.25,97.2,0.2,1.5,0.1,0.15,0.85,97.3,0.9450885,42.3,,,0.09,43.1,0.313,,0.291,0.098,59.3,,0.136,0.078,53.67,,73.3,
Illinois,IL,17133,"Monroe County, Illinois",37,19074,7953,6215,9881,10888,66.13190731,28.95040369,1.048547761,3.869141239,62.45984397,54.64248189,35.6528224,43.9805342,9,91,24.7,8.4,82.95,36472.25397,97,0.3,0.2,0.35,0.9,1.35,6.3,2.25,32657,62.1,4.25,4.1,33.9,16.25,25.75,0.3,12.85,11,97,0.3,1.35,0.35,0.2,0.9,97.35,0.9411885,40.1,3.5,4.1,0.07,13.6,0.18,,0.293,0.094,120.1,46.8,0.082,0.07,53.02,,57.4,
