State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Percent Non-citizen
United States,62.20%,61.60%,56.90%,132609063,131304731,213313508,230872030,8.40%
Alabama,61.00%,60.80%,58.40%,2105622,2099819,3454510,3595708,2.20%
Alaska,68.30%,68.00%,64.30%,327341,326197,479429,507645,3.70%
Arizona,57.40%,56.70%,49.10%,2320851,2293475,4046075,4673718,11.60%
Arkansas,52.90%,52.50%,50.00%,1095958,1086617,2071563,2174846,2.90%
California,61.70%,60.90%,49.50%,13743177,13561900,22261504,27411094,17.90%
Colorado,71.60%,71.00%,64.70%,2422236,2401361,3382959,3708955,8.00%
Connecticut,,66.60%,60.40%,,1646792,2471082,2725917,8.50%
Delaware,65.80%,65.60%,60.60%,413562,412398,628200,680493,5.30%
District of Columbia,61.70%,61.50%,55.20%,266871,265853,432566,481971,10.30%
Florida,66.60%,66.10%,57.60%,8453743,8390744,12687407,14558436,11.20%
Georgia,62.70%,62.50%,55.60%,3940705,3924440,6281872,7063638,7.30%
Hawaii,49.00%,48.80%,43.80%,456064,453568,930067,1036088,9.70%
Idaho,64.80%,63.60%,58.60%,667506,655032,1029416,1117842,4.90%
Illinois,64.30%,63.60%,57.40%,5578195,5523051,8681138,9615700,9.20%
Indiana,60.30%,59.10%,57.00%,2805986,2751054,4653019,4826231,3.00%
Iowa,69.70%,69.40%,66.90%,1543662,1537123,2216094,2298515,2.60%
Kansas,63.50%,62.00%,58.80%,1264208,1235872,1991759,2100084,4.20%
Kentucky,59.00%,57.90%,55.70%,1858578,1826508,3152629,3277617,2.20%
Louisiana,61.80%,61.20%,58.70%,1979852,1960761,3205794,3342279,2.00%
Maine,71.80%,70.60%,69.60%,744456,731163,1036242,1049816,1.30%
Maryland,67.80%,67.00%,60.60%,2661905,2631596,3925117,4342850,7.80%
Massachusetts,67.30%,66.80%,60.90%,3102995,3080985,4612550,5058035,8.60%
Michigan,69.70%,69.20%,66.40%,5039080,5001766,7229512,7528460,3.30%
Minnesota,78.10%,77.80%,73.20%,2921147,2910369,3740142,3975974,4.00%
Mississippi,,61.00%,58.90%,,1289856,2113347,2190402,1.90%
Missouri,68.20%,67.60%,64.90%,2950504,2925205,4327572,4507688,2.50%
Montana,67.10%,66.30%,65.10%,497599,491960,741853,755384,1.30%
Nebraska,63.70%,62.90%,59.40%,811923,801281,1274719,1348048,4.30%
Nevada,57.20%,57.00%,48.40%,970019,967848,1696831,2000277,14.10%
New Hampshire,72.50%,71.70%,69.60%,719643,710970,992226,1021787,2.60%
New Jersey,67.70%,67.00%,58.20%,3910220,3868237,5776527,6651284,11.70%
New Mexico,61.20%,60.90%,55.10%,833365,830158,1362629,1505830,8.30%
New York,59.60%,59.00%,51.40%,7721718,7640640,12948969,14876971,12.40%
North Carolina,66.10%,65.50%,60.70%,4354571,4310789,6584302,7096503,5.90%
North Dakota,63.60%,62.70%,61.70%,321133,316621,504762,512768,1.30%
Ohio,67.80%,66.90%,65.10%,5773777,5698260,8513079,8757453,2.20%
Oklahoma,56.30%,55.80%,52.80%,1474694,1462661,2619121,2770219,4.00%
Oregon,68.30%,67.70%,62.70%,1845251,1827864,2700327,2916246,6.90%
Pennsylvania,64.20%,63.60%,61.30%,6071357,6012692,9457942,9813664,3.10%
Rhode Island,62.30%,61.80%,57.10%,475428,471766,763608,825786,7.00%
South Carolina,58.20%,58.00%,55.30%,1927153,1920969,3311044,3473488,3.40%
South Dakota,65.60%,64.70%,63.40%,387449,381975,590720,602539,1.20%
Tennessee,57.40%,57.00%,54.50%,2618238,2599749,4563192,4771926,3.10%
Texas,,54.10%,45.50%,,8077795,14929810,17756112,13.50%
Utah,57.10%,56.00%,51.80%,971185,952370,1700286,1840087,7.20%
Vermont,67.70%,67.30%,66.00%,326822,325046,482677,492610,2.00%
Virginia,67.60%,67.00%,61.80%,3753059,3723260,5555415,6022123,6.60%
Washington,67.30%,66.60%,60.30%,3071587,3036878,4561163,5032960,7.80%
West Virginia,51.20%,49.90%,49.10%,731691,713362,1430439,1453045,0.80%
Wisconsin,72.70%,72.40%,69.30%,2997086,2983417,4120694,4306876,3.00%
Wyoming,63.10%,62.80%,60.90%,256035,254658,405732,418040,1.70%
