State,VEP Total Ballots Counted2016,VEP Highest Office2016,VAP Highest Office2016,Total Ballots Counted2016,Highest Office2016,Voting-Eligible Population VEP2016,Voting-Age Population VAP2016,Percent Non-citizen,State Abv
United States,60.10%,59.20%,54.70%,138846571,136753936,230931921,250055734,8.30%,
Alabama,59.10%,58.80%,56.30%,2134061,2123372,3609447,3770142,2.50%,AL
Alaska,61.50%,61.00%,57.40%,321271,318608,522679,555367,4.10%,AK
Arizona,56.10%,54.90%,48.90%,2661497,2604657,4740310,5331034,9.40%,AZ
Arkansas,53.20%,52.80%,49.40%,1137772,1130635,2140097,2286625,3.80%,AR
California,58.20%,56.50%,47.00%,14610509,14181595,25104844,30201571,16.40%,CA
Colorado,71.90%,70.00%,64.60%,2859216,2780247,3974405,4305728,7.00%,CO
Connecticut,64.90%,63.70%,58.30%,1675955,1644920,2582761,2821935,7.80%,CT
Delaware,64.40%,64.20%,59.20%,445228,443814,691720,749872,5.70%,DE
District of Columbia,60.70%,60.40%,55.40%,312575,311268,515248,562329,8.40%,DC
Florida,65.60%,64.50%,56.90%,9580489,9420039,14601066,16565588,10.50%,FL
Georgia,59.80%,59.10%,52.60%,4165405,4114732,6959963,7828207,7.20%,GA
Hawaii,43.20%,42.30%,38.30%,437664,428937,1012860,1120465,9.10%,HI
Idaho,60.90%,59.20%,55.00%,710545,690255,1166706,1253925,4.40%,ID
Illinois,63.10%,62.20%,56.70%,5666118,5589631,8985443,9866799,8.50%,IL
Indiana,57.90%,56.40%,54.00%,2807676,2734958,4849937,5063393,3.70%,IN
Iowa,69.10%,68.40%,65.10%,1581371,1566031,2288536,2406915,3.60%,IA
Kansas,59.70%,57.70%,54.00%,1225667,1184402,2054025,2192423,5.20%,KS
Kentucky,59.60%,58.60%,56.10%,1955195,1924149,3282420,3430652,2.40%,KY
Louisiana,60.60%,60.00%,56.80%,2049531,2029032,3384435,3571652,2.70%,LA
Maine,72.90%,70.70%,69.40%,771892,747927,1058372,1078037,1.80%,ME
Maryland,67.00%,66.40%,59.50%,2807322,2781446,4189616,4670900,8.80%,MD
Massachusetts,68.30%,67.20%,61.10%,3378801,3325046,4948028,5442458,8.90%,MA
Michigan,65.70%,64.70%,62.00%,4874619,4799284,7420628,7744567,3.70%,MI
Minnesota,74.70%,74.10%,69.40%,2968281,2944813,3973204,4240423,4.60%,MN
Mississippi,,55.20%,53.30%,,1209357,2191241,2268089,1.40%,MS
Missouri,62.20%,62.20%,59.60%,2811549,2808605,4517925,4710784,2.50%,MO
Montana,64.30%,61.80%,60.80%,516901,497147,804250,817702,1.20%,MT
Nebraska,64.00%,62.80%,58.80%,860573,844227,1343821,1436437,5.50%,NE
Nevada,57.40%,57.40%,49.40%,1125429,1125385,1961587,2276281,12.60%,NV
New Hampshire,72.50%,71.40%,69.10%,755850,744296,1042795,1076739,2.90%,NH
New Jersey,65.80%,64.40%,55.70%,3957303,3874046,6013656,6959892,12.00%,NJ
New Mexico,54.90%,54.50%,50.20%,804043,798319,1464515,1591069,6.90%,NM
New York,57.20%,56.80%,49.60%,7786881,7721453,13604645,15557982,12.00%,NY
North Carolina,64.90%,64.50%,60.20%,4769640,4741564,7352501,7880013,5.50%,NC
North Dakota,61.70%,60.80%,59.30%,349945,344360,566783,581188,2.20%,ND
Ohio,64.20%,62.90%,61.00%,5607641,5496487,8736808,9007953,2.40%,OH
Oklahoma,,52.30%,49.00%,,1452992,2778219,2965905,4.70%,OK
Oregon,68.00%,66.20%,61.70%,2056310,2001336,3024174,3244277,6.30%,OR
Pennsylvania,,63.60%,61.00%,,6165478,9691160,10108486,3.70%,PA
Rhode Island,59.70%,59.10%,54.70%,469589,464144,786012,848975,7.10%,RI
South Carolina,57.30%,56.70%,54.20%,2123584,2103027,3709283,3883145,3.40%,SC
South Dakota,60.00%,58.60%,56.60%,378995,370093,631173,653841,2.50%,SD
Tennessee,51.80%,51.10%,48.60%,2545271,2508027,4909426,5164969,3.50%,TN
Texas,51.40%,51.40%,43.40%,8975000,8969226,17448910,20671564,13.30%,TX
Utah,57.90%,56.80%,52.80%,1152369,1131430,1991885,2144784,6.90%,UT
Vermont,64.80%,63.70%,62.30%,320467,315067,494871,506048,2.20%,VT
Virginia,,66.10%,60.80%,,3984631,6027152,6551390,6.90%,VA
Washington,65.70%,64.70%,58.30%,3363440,3317019,5123020,5691833,8.60%,WA
West Virginia,,50.20%,49.20%,,714423,1423031,1453201,1.10%,WV
Wisconsin,,69.50%,66.20%,,2976150,4285071,4495783,3.20%,WI
Wyoming,60.20%,59.50%,57.30%,258788,255849,429682,446396,2.40%,WY
Note: Illinois highest vote includes write-in votes obtained from counties which include write-ins for official (the state only reports these) and unofficial write-in candidates ,,,,,,,,,
