State,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Percent Non-citizen,State Abv
United States,159215664,,66.50%,239247182,257605088,7.80%,
Alabama,2325000,2323282,63.10%,3683055,3837540,2.30%,AL
Alaska,360684,358802,68.60%,525568,551117,3.40%,AK
Arizona,3420565,3385294,65.90%,5189000,5798473,8.90%,AZ
Arkansas,1222924,1217036,56.00%,2182375,2331171,3.60%,AR
California,17400000,,67.00%,25962648,30783255,15.00%,CA
Colorado,3293332,3256061,76.40%,4313054,4595504,5.70%,CO
Connecticut,1850000,,71.10%,2603327,2839560,7.70%,CT
Delaware,509241,504010,70.70%,720531,780822,5.80%,DE
District of Columbia,335736,333682,62.10%,540685,582065,7.10%,DC
Florida,11144855,11067456,71.70%,15551739,17543341,10.10%,FL
Georgia,5000511,4998482,67.70%,7383562,8255108,6.60%,GA
Hawaii,579784,574469,57.50%,1007920,1114466,9.10%,HI
Idaho,875000,867360,67.70%,1292701,1384683,4.10%,ID
Illinois,6100000,,67.60%,9027082,9832749,7.80%,IL
Indiana,3027540,2983746,60.60%,5000007,5214546,3.60%,IN
Iowa,1700130,1690871,73.20%,2321131,2439743,3.50%,IA
Kansas,1340000,1333513,64.20%,2087946,2223238,4.90%,KS
Kentucky,2150954,2136768,64.90%,3312250,3479257,2.80%,KY
Louisiana,2180000,2071543,64.60%,3373932,3557594,2.80%,LA
Maine,860000,,79.20%,1085285,1104489,1.70%,ME
Maryland,2975000,2935220,69.00%,4313416,4729400,8.40%,MD
Massachusetts,3658005,3631402,72.10%,5072901,5566452,8.70%,MA
Michigan,5579317,5539302,73.90%,7550147,7870864,3.60%,MI
Minnesota,3290000,3275726,79.90%,4118462,4378737,4.10%,MN
Mississippi,1330000,,60.40%,2201950,2279412,1.40%,MS
Missouri,3050000,3012436,66.30%,4603060,4794796,2.40%,MO
Montana*,612075,603640,73.10%,837298,851663,1.20%,MT
Nebraska,948852,935232,68.60%,1383551,1469878,4.80%,NE
Nevada,1407754,1405376,65.40%,2153915,2450946,11.60%,NV
New Hampshire,814499,803833,75.50%,1079434,1115916,3.00%,NH
New Jersey,4350000,,70.60%,6158999,6952008,11.10%,NJ
New Mexico,928008,923740,61.20%,1515355,1634037,6.20%,NM
New York,8930000,,65.30%,13670596,15372655,10.50%,NY
North Carolina,5545848,5524804,71.50%,7759051,8328642,5.70%,NC
North Dakota,364251,361819,64.50%,565143,584610,3.00%,ND
Ohio,6080000,,68.60%,8859167,9144626,2.60%,OH
Oklahoma,1565000,1560699,55.00%,2845835,3031792,4.30%,OK
Oregon,2411802,2361091,75.50%,3196425,3405863,5.70%,OR
Pennsylvania*,6950000,6915283,71.00%,9781976,10186170,3.50%,PA
Rhode Island,525000,517732,65.70%,799642,857507,6.40%,RI
South Carolina,2533010,2513329,64.50%,3926305,4116633,3.60%,SC
South Dakota,427529,422609,66.00%,648104,675016,2.40%,SD
Tennessee,3060000,3045401,59.70%,5124867,5391220,3.60%,TN
Texas,11300000,11231799,60.20%,18784280,22058260,12.60%,TX
Utah,1515845,1488289,69.20%,2191487,2343384,6.20%,UT
Vermont,370968,367428,74.20%,499884,511637,2.30%,VT
Virginia,4523142,4460524,73.00%,6196071,6727440,6.80%,VA
Washington,4110000,,75.60%,5437844,6070046,9.10%,WA
West Virginia,795000,,57.00%,1394028,1422098,0.90%,WV
Wisconsin,3310000,3296650,75.80%,4368530,4586746,3.20%,WI
Wyoming,278503,276765,64.60%,431364,447915,2.20%,WY
"* Notes: For Montana, I am using the US Senate election as the highest office. Pennsylvania does not yet include write-in votes",,,,,,,
